Sample;SAMPLE TYPE ;TEXTURAL GROUP ;SEDIMENT NAME ;MoM_ari_MEAN;MoM_ari_SORTING;MoM_ari_SKEWNESS;MoM_ari_KURTOSIS;MoM_geo_MEAN;MoM_geo_SORTING;MoM_geo_SKEWNESS;MoM_geo_KURTOSIS;MoM_log_MEAN;MoM_log_SORTING;MoM_log_SKEWNESS;MoM_log_KURTOSIS;FW_geo_MEAN;FW_geo_SORTING;FW_geo_SKEWNESS;FW_geo_KURTOSIS;FW_log_MEAN;FW_log_SORTING;FW_log_SKEWNESS;FW_log_KURTOSIS;FW_des_MEAN;FW_des_SORTING;FW_des_SKEWNESS;FW_des_KURTOSIS;MODE 1 (mm);MODE 2 (mm);MODE 3 (mm);MODE 1 (f);MODE 2 (f);MODE 3 (f);D10 (mm);D50 (mm);D90 (mm);(D90 / D10) (mm);(D90 - D10) (mm);(D75 / D25) (mm);(D75 - D25) (mm);D10 (f);D50 (f);D90 (f);(D90 / D10) (f);(D90 - D10) (f);(D75 / D25) (f);(D75 - D25) (f);% GRAVEL;% SAND;% MUD;% V COARSE GRAVEL;% COARSE GRAVEL;% MEDIUM GRAVEL;% FINE GRAVEL;% V FINE GRAVEL;% V COARSE SAND;% COARSE SAND;% MEDIUM SAND;% FINE SAND;% V FINE SAND;% V COARSE SILT;% COARSE SILT;% MEDIUM SILT;% FINE SILT;% V FINE SILT;% CLAY
Schlei_S25;Unimodal, Poorly Sorted;Mud;Coarse Silt;28,54;44,09;12,55;259,4;17,23;2,764;-0,134;2,912;5,859;1,467;0,134;2,912;17,28;2,792;-0,089;0,976;5,855;1,481;0,089;0,976;Coarse Silt;Poorly Sorted;Symmetrical;Mesokurtic;23,28;;;5,428;;;4,286;18,3;61,36;14,32;57,08;4,08;26,62;4,026;5,772;7,866;1,954;3,84;1,42;2,028;0,0%;9,6%;90,4%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,1%;1,3%;8,1%;19,6%;26,7%;21,7%;13,8%;7,0%;1,6%
Schlei_S26;Bimodal, Very Poorly Sorted;Muddy Sand;Fine Silty Medium Sand;300,2;321,6;1,962;8,219;120,6;5,876;-0,927;2,77;3,052;2,555;0,927;2,77;111,7;6,14;-0,521;1,007;3,162;2,618;0,521;1,007;Very Fine Sand;Very Poorly Sorted;Very Fine Skewed;Mesokurtic;341,3;6,079;;1,553;7,365;;5,851;224,4;677,9;115,9;672,1;9,693;382,1;0,561;2,156;7,417;13,22;6,856;3,662;3,277;0,0%;72,6%;27,4%;0,0%;0,0%;0,0%;0,0%;0,0%;3,9%;15,1%;27,1%;18,7%;7,7%;4,6%;4,5%;5,6%;6,6%;4,6%;1,6%
Schlei_S27;Unimodal, Very Poorly Sorted;Sandy Mud;Very Fine Sandy Very Coarse Silt;38,25;69,65;6,644;59,82;16,45;4,268;-0,612;3,312;5,926;2,094;0,612;3,312;17,22;4,04;-0,303;0,936;5,86;2,014;0,303;0,936;Coarse Silt;Very Poorly Sorted;Very Fine Skewed;Mesokurtic;42,86;;;4,547;;;2,346;22,14;76,92;32,79;74,58;7,424;40,99;3,7;5,497;8,736;2,361;5,035;1,657;2,892;0,0%;15,7%;84,3%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,7%;1,0%;1,2%;12,8%;24,0%;18,5%;13,2%;11,9%;8,5%;8,2%
Schlei_S29;Unimodal, Very Poorly Sorted;Sandy Mud;Very Fine Sandy Very Coarse Silt;47,07;87,96;5,955;50,24;16,22;5,678;-0,882;4,224;5,946;2,505;0,882;4,224;17,89;5,102;-0,244;0,972;5,805;2,351;0,244;0,972;Coarse Silt;Very Poorly Sorted;Fine Skewed;Mesokurtic;61,81;;;4,019;;;1,932;21,42;103,1;53,36;101,2;10,14;53,01;3,278;5,545;9,015;2,751;5,738;1,818;3,342;0,0%;23,2%;76,8%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;1,0%;0,9%;4,5%;16,8%;18,6%;14,5%;13,2%;12,1%;8,3%;10,1%
Schlei_S2_15cm;Unimodal, Poorly Sorted;Muddy Sand;Medium Silty Medium Sand;292,9;217,9;2,198;13,73;188,4;3,51;-1,8;5,863;2,408;1,812;1,8;5,863;235,3;2,797;-0,426;2,125;2,087;1,484;0,426;2,125;Fine Sand;Poorly Sorted;Very Fine Skewed;Very Leptokurtic;302,1;;;1,729;;;23,85;265,3;527,7;22,13;503,8;2,337;221,5;0,922;1,914;5,39;5,844;4,468;1,895;1,225;0,0%;86,4%;13,6%;0,0%;0,0%;0,0%;0,0%;0,0%;1,2%;11,0%;41,8%;28,2%;4,3%;2,6%;2,6%;3,4%;3,1%;1,6%;0,2%
Schlei_S3;Bimodal, Very Poorly Sorted;Sandy Mud;Very Fine Sandy Medium Silt;38,25;72,33;4,15;24,19;14,16;4,028;0,207;2,739;6,142;2,01;-0,207;2,739;14,06;4,005;0,128;0,921;6,152;2,002;-0,128;0,921;Medium Silt;Very Poorly Sorted;Coarse Skewed;Mesokurtic;7,76;267,4;;7,012;1,906;;2,648;12,54;89,84;33,93;87,19;7,351;32,97;3,477;6,317;8,561;2,463;5,085;1,611;2,878;0,0%;15,7%;84,3%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,4%;2,6%;3,6%;9,1%;13,3%;15,4%;19,0%;18,9%;12,0%;5,8%
Schlei_S30;Polymodal, Very Poorly Sorted;Sandy Mud;Very Fine Sandy Fine Silt;148,2;288,8;3,596;17,68;35,58;6,253;0,038;2,044;4,813;2,645;-0,038;2,044;35,9;6,339;-0,103;0,794;4,8;2,664;0,103;0,794;Very Coarse Silt;Very Poorly Sorted;Fine Skewed;Platykurtic;100,7;5,381;435,7;3,314;7,541;1,201;3,306;44,27;413,8;125,2;410,5;19,37;128,3;1,273;4,498;8,241;6,473;6,968;2,481;4,276;0,0%;45,0%;55,0%;0,0%;0,0%;0,0%;0,0%;0,0%;2,9%;5,1%;7,0%;12,0%;17,9%;8,6%;8,3%;10,9%;14,4%;8,8%;4,0%
Schlei_S31;Unimodal, Poorly Sorted;Muddy Sand;Very Coarse Silty Fine Sand;189,1;207,2;3,975;25,82;104,9;3,995;-1,529;5,715;3,253;1,998;1,529;5,715;114,8;3,406;-0,456;1,626;3,122;1,768;0,456;1,626;Very Fine Sand;Poorly Sorted;Very Fine Skewed;Very Leptokurtic;185,4;;;2,434;;;13,44;151,8;349,1;25,97;335,6;3,157;162,9;1,518;2,72;6,217;4,095;4,699;1,802;1,658;0,0%;77,9%;22,1%;0,0%;0,0%;0,0%;0,0%;0,0%;1,5%;2,5%;18,5%;37,0%;18,4%;6,8%;4,5%;3,4%;3,2%;2,2%;1,9%
Schlei_S32;Bimodal, Poorly Sorted;Sandy Mud;Very Fine Sandy Very Coarse Silt;62,82;72,55;4,341;32,61;34,08;3,728;-0,949;3,595;4,875;1,899;0,949;3,595;34,12;3,577;-0,435;1,07;4,873;1,839;0,435;1,07;Very Coarse Silt;Poorly Sorted;Very Fine Skewed;Mesokurtic;69,83;8,768;;3,843;6,836;;4,506;49,45;124,3;27,58;119,8;4,89;66,3;3,008;4,338;7,794;2,591;4,786;1,639;2,29;0,0%;39,0%;61,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,7%;1,1%;8,1%;29,2%;26,4%;10,6%;8,0%;7,4%;5,1%;3,5%
Schlei_S4;Unimodal, Poorly Sorted;Muddy Sand;Fine Silty Fine Sand;308,8;302,1;2,49;10,55;191,3;3,284;-1,514;6,272;2,386;1,715;1,514;6,272;222,8;2,869;-0,178;1,877;2,166;1,52;0,178;1,877;Fine Sand;Poorly Sorted;Fine Skewed;Very Leptokurtic;209,5;;;2,258;;;57,42;223,3;633,7;11,04;576,3;2,635;225,8;0,658;2,163;4,122;6,264;3,464;1,958;1,398;0,0%;89,7%;10,3%;0,0%;0,0%;0,0%;0,0%;0,0%;4,4%;10,4%;28,7%;35,2%;11,0%;2,2%;2,2%;2,0%;2,2%;1,4%;0,3%
Schlei_S4_15cm;Unimodal, Poorly Sorted;Muddy Sand;Medium Silty Fine Sand;212,5;202,2;2,821;16,97;120,3;3,833;-1,235;3,975;3,055;1,938;1,235;3,975;119,9;3,714;-0,476;1,634;3,06;1,893;0,476;1,634;Very Fine Sand;Poorly Sorted;Very Fine Skewed;Very Leptokurtic;209,5;;;2,258;;;12,07;175;420,2;34,82;408,2;3,125;189,7;1,251;2,514;6,373;5,095;5,122;1,893;1,644;0,0%;79,3%;20,7%;0,0%;0,0%;0,0%;0,0%;0,0%;1,1%;5,3%;24,1%;35,2%;13,6%;4,1%;4,8%;4,9%;4,2%;2,3%;0,4%
Schlei_S5;Unimodal, Moderately Sorted;Sand;Moderately Sorted Medium Sand;332,1;223,1;2,448;14,33;259,8;2,305;-2,022;10,17;1,945;1,205;2,022;10,17;282,5;1,92;-0,18;1,287;1,824;0,941;0,18;1,287;Medium Sand;Moderately Sorted;Fine Skewed;Leptokurtic;302,1;;;1,729;;;121,4;291,3;572,8;4,718;451,4;2,148;224,2;0,804;1,779;3,042;3,784;2,238;1,88;1,103;0,0%;95,0%;5,0%;0,0%;0,0%;0,0%;0,0%;0,0%;1,5%;14,0%;45,0%;28,8%;5,6%;2,0%;1,0%;0,9%;0,8%;0,4%;0,0%
Schlei_S6;Bimodal, Very Poorly Sorted;Sandy Mud;Very Fine Sandy Very Coarse Silt;55,47;127,9;6,713;62,1;18,3;4,886;-0,34;3,201;5,772;2,289;0,34;3,201;18,64;4,355;-0,188;0,835;5,745;2,123;0,188;0,835;Coarse Silt;Very Poorly Sorted;Fine Skewed;Platykurtic;54,71;6,868;;4,195;7,188;;2,472;22,74;100,6;40,7;98,16;9,849;52,27;3,313;5,459;8,66;2,614;5,347;1,804;3,3;0,0%;22,7%;77,3%;0,0%;0,0%;0,0%;0,0%;0,0%;0,4%;1,4%;1,8%;3,1%;15,9%;20,8%;13,0%;12,9%;13,5%;9,9%;7,3%
Schlei_S7;Bimodal, Very Poorly Sorted;Sandy Mud;Very Fine Sandy Very Coarse Silt;43,54;53,68;2,895;17,64;18,45;4,691;-0,58;2,662;5,76;2,23;0,58;2,662;19,64;4,66;-0,269;0,862;5,67;2,22;0,269;0,862;Coarse Silt;Very Poorly Sorted;Fine Skewed;Platykurtic;61,81;7,76;;4,019;7,012;;2,237;25,01;105,7;47,24;103,4;10,48;57,81;3,242;5,321;8,804;2,715;5,562;1,854;3,389;0,0%;25,7%;74,3%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,9%;5,7%;19,2%;19,8%;12,6%;12,3%;12,3%;8,6%;8,7%
Schlei_S8;Unimodal, Poorly Sorted;Sandy Mud;Very Fine Sandy Very Coarse Silt;41,83;64,94;3,865;23,07;18,16;3,9;-0,136;2,599;5,783;1,964;0,136;2,599;18,19;3,905;-0,06;0,892;5,781;1,965;0,06;0,892;Coarse Silt;Poorly Sorted;Symmetrical;Platykurtic;37,93;;;4,723;;;2,982;19,32;98,47;33,02;95,49;7,384;43,15;3,344;5,694;8,39;2,509;5,045;1,667;2,884;0,0%;19,3%;80,7%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,2%;2,0%;4,6%;12,5%;18,3%;17,7%;16,5%;14,0%;9,1%;5,1%
