Sample,OM_20,OM_25,OM_32,OM_38,OM_45,OM_53,OM_63,OM_75,OM_90,OM_106,OM_125,OM_150,OM_180,OM_212,OM_250,OM_300,OM_355,OM_425,OM_500,OM_600,OM_710,OM_850,OM_1000,OM_1180,OM_1400,OM_1700,OM_2000,OM_2360,OM_2800,OM_3350,OM_4000,OM_4750,OM_5600,OM_6300,OM_6700,OM_8000,OM_9500,OM_smaller63,OM_smaller90,OM_smaller125,OM_smaller180,OM_smaller250,OM_smaller355,OM_smaller500,OM_smaller710,OM_smaller1000,OM_smaller1400,OM_smaller2000,OM_above2000,OM_D10,OM_D16,OM_D25,OM_D50,OM_D75,OM_D84,OM_D90,TOC,Hg,TIC
Schlei_S21,5.44,5.79,3.89,3.79,3.71,4.02,4.15,4.36,3.78,3.52,3.34,2.73,1.95,1.54,1.43,1.15,1.1,0.89,0.82,0.52,0.3,0.05,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.36,76.87,84.17,90.23,93.73,96.31,98.3,99.64,99.99,100,100,0,4.64,6.6,10.1,28.2,83.2,124,177,10.9955,173.3,0.405
Schlei_S22,3.44,3.9,2.93,3.11,3.28,3.71,3.92,4.16,3.64,3.44,3.37,2.92,2.28,2.04,2.15,1.97,2.17,2,2.23,1.96,1.9,1.46,1.23,1.04,0.89,0.56,0.45,0.31,0.17,0.03,0,0,0,0,0,0,0,53.73,61.81,68.88,75.17,79.49,83.61,87.78,91.97,95.33,97.6,99.04,0.96,5.7,7.82,12.3,53,178,367,599,11.5525,175.6,0.455
Schlei_S23,3.55,3.87,2.63,2.56,2.5,2.71,2.84,3.08,2.8,2.79,2.93,2.73,2.28,2.15,2.3,2.09,2.24,2.04,2.35,2.29,2.63,2.65,2.98,3.32,3.88,3.07,2.72,2.05,1.2,0.19,0,0,0,0,0,0,0,40.41,46.32,51.91,57.57,61.99,66.39,70.67,75.31,80.59,86.9,93.84,6.16,8.43,13.1,23.3,112,694,1210,1630,12.224,231.7,0.426666666666667
Schlei_S24,5.37,5.75,3.86,3.7,3.49,3.59,3.51,3.46,2.87,2.62,2.53,2.26,1.91,1.9,2.11,1.86,1.64,1.05,0.57,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.63,78.61,84.09,88.88,92.68,96.65,99.34,100,100,100,100,3E-11,4.49,6.04,8.76,23.7,74.5,124,198,1.979,50.6,3.465
Schlei_S25,3.47,4.33,3.53,3.99,4.49,5.36,5.88,6.36,5.51,5.04,4.56,3.48,2.27,1.58,1.32,1.01,1,0.87,0.9,0.66,0.48,0.19,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.86,71.1,81.65,89.69,93.54,95.87,97.74,99.3,99.97,100,100,0.000000009,4.19,6.3,11.2,46.7,101,137,183,8.713,166,0.215
Schlei_S26,3.88,4.23,2.93,2.9,2.86,3.09,3.18,3.36,2.98,2.9,3.01,2.8,2.35,2.25,2.47,2.32,2.57,2.39,2.71,2.41,2.35,1.8,1.5,1.28,1.15,0.75,0.62,0.44,0.25,0.04,0,0,0,0,0,0,0,52.13,58.67,64.55,70.36,74.96,79.74,84.71,89.82,93.98,96.75,98.65,1.35,5.4,7.95,13.3,55.9,251,477,719,0.1885,17.6,3.07
Schlei_S27,4.89,5.45,3.86,3.88,3.89,4.31,4.58,5.08,4.73,4.81,5.12,4.62,3.43,2.4,1.5,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.39,73.05,82.6,92.34,98.16,100,100,100,100,100,100,6E-14,5.5,7.6,11.6,35.9,96.3,131,163,6.8825,182.6,0.235
Schlei_S29,2.87,3.18,2.22,2.23,2.3,2.67,3,3.56,3.49,3.69,4.13,4.02,3.45,3.32,3.6,3.33,3.66,3.39,3.84,3.45,3.43,2.71,2.33,1.98,1.73,1.09,0.83,0.52,0.23,0.02,0,0,0,0,0,0,0,35.16,41.72,48.91,57.07,63.85,70.78,77.83,85.12,91.26,95.58,98.4,1.6,8.79,14.9,30.2,131,437,671,925,5.7785,139.2687,0.49
Schlei_S30,2.98,3.32,2.31,2.27,2.24,2.44,2.56,2.79,2.57,2.6,2.83,2.78,2.48,2.54,2.93,2.86,3.26,3.09,3.59,3.39,3.64,3.3,3.32,3.3,3.41,2.48,2.09,1.52,0.87,0.14,0,0,0,0,0,0,0,35.67,41.02,46.19,51.79,56.81,62.61,68.96,75.94,82.88,89.5,95.39,4.61,8.75,14.5,28.8,160,678,1060,1440,2.3875,56.0393,2.125
Schlei_S31,0.91,1.13,0.86,0.91,0.98,1.17,1.36,1.67,1.71,1.9,2.35,2.62,2.65,3.1,3.91,4.02,4.56,4.08,4.34,3.8,4.14,4.26,5.17,6.23,7.88,6.57,5.99,4.59,2.7,0.44,0,0,0,0,0,0,0,9.95,12.99,16.6,21.57,27.32,35.24,43.88,52.03,60.44,71.83,86.28,13.72,63.4,119,221,649,1520,1890,2210,1.108,12.2936,0.385
Schlei_S32,2.37,2.97,2.31,2.49,2.68,3.15,3.5,4.01,3.8,3.92,4.31,4.19,3.63,3.54,3.86,3.54,3.77,3.36,3.66,3.21,3.23,2.71,2.6,2.54,2.64,1.95,1.66,1.2,0.68,0.11,0,0,0,0,0,0,0,28.39,35.9,43.62,52.12,59.29,66.69,73.81,80.68,86.62,91.75,96.35,3.65,15.5,27.8,52.3,164,530,855,1240,3.165,113.9237,0.17
