IDParticles,Sample,Site_name,GPS_LON,GPS_LAT,Compartment,Contributor,Project,Particle_name,Size_1_[µm],Size_2_[µm],Size_3_[µm],Shape,Colour,Preferred_method,polymer_type,library_entry,Comment,lab_blank_ID,sample_ID,Sampling_weight_[kg],Fraction_analysed,size_geom_mean
26559_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,,375.0,60.0,15.6026,irregular,unspecific,5,Polypropylene,Polypropylene,,1391.0,1213,0.093,1.0,150.0
26560_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,,61.0,44.0,30.3603,irregular,unspecific,5,Polyethylene,Polyethylene,,1391.0,1213,0.093,1.0,51.807335387954474
26561_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,,94.0,56.0,28.1939,irregular,unspecific,5,Polyethylene,Polyethylene,,1391.0,1213,0.093,1.0,72.55342858886821
26562_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,,101.0,94.0,31.882,irregular,unspecific,5,Polyethylene,Polyethylene,,1391.0,1213,0.093,1.0,97.43715923609432
26564_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,,89.0,53.0,29.721,irregular,unspecific,5,Polystyrene,Polystyrene,,1391.0,1213,0.093,1.0,68.6804193347711
26568_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,,129.0,79.0,34.8869,irregular,unspecific,5,Poly (vinyl chloride),Poly(vinyl chloride),,1391.0,1213,0.093,1.0,100.9504829111778
26569_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,,154.0,112.0,33.6354,irregular,unspecific,5,Polyethylene,Polyethylene,,1391.0,1213,0.093,1.0,131.33164127505603
26570_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,,92.0,55.0,61.9207,irregular,unspecific,5,Poly (ethylene terephthalate),Poly(ethylene terephtalate),,1391.0,1213,0.093,1.0,71.13367697511495
26571_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,,362.0,32.0,20.8681,fibre,unspecific,5,Poly (ethylene terephthalate),Poly(ethylene terephtalate),,1391.0,1213,0.093,1.0,107.62899237658968
26572_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,,211.0,61.0,27.1731,irregular,unspecific,5,Poly (ethylene terephthalate),Poly(ethylene terephtalate),,1391.0,1213,0.093,1.0,113.45042970390196
