Sample,SAMPLE TYPE ,TEXTURAL GROUP ,SEDIMENT NAME ,MoM_ari_MEAN,MoM_ari_SORTING,MoM_ari_SKEWNESS,MoM_ari_KURTOSIS,MoM_geo_MEAN,MoM_geo_SORTING,MoM_geo_SKEWNESS,MoM_geo_KURTOSIS,MoM_log_MEAN,MoM_log_SORTING,MoM_log_SKEWNESS,MoM_log_KURTOSIS,FW_geo_MEAN,FW_geo_SORTING,FW_geo_SKEWNESS,FW_geo_KURTOSIS,FW_log_MEAN,FW_log_SORTING,FW_log_SKEWNESS,FW_log_KURTOSIS,FW_des_MEAN,FW_des_SORTING,FW_des_SKEWNESS,FW_des_KURTOSIS,MODE 1 (µm),MODE 2 (µm),MODE 3 (µm),MODE 1 (f),MODE 2 (f),MODE 3 (f),D10 (µm),D50 (µm),D90 (µm),(D90 div D10) (µm),(D90 - D10) (µm),(D75 div D25) (µm),(D75 - D25) (µm),D10 (f),D50 (f),D90 (f),(D90 div D10) (f),(D90 - D10) (f),(D75 div D25) (f),(D75 - D25) (f),perc GRAVEL,perc SAND,perc MUD,perc V COARSE GRAVEL,perc COARSE GRAVEL,perc MEDIUM GRAVEL,perc FINE GRAVEL,perc V FINE GRAVEL,perc V COARSE SAND,perc COARSE SAND,perc MEDIUM SAND,perc FINE SAND,perc V FINE SAND,perc V COARSE SILT,perc COARSE SILT,perc MEDIUM SILT,perc FINE SILT,perc V FINE SILT,perc CLAY
Schlei_S24,"Unimodal, Moderately Well Sorted",Slightly Gravelly Mud,Slightly Very Fine Gravelly Mud,2.197,1.579,14.86,1989.8,1.918,1.612,0.952,4.354,9.026,0.688,-0.952,4.354,1.866,1.588,0.202,1.018,9.066,0.667,-0.202,1.018,Clay,Moderately Well Sorted,Coarse Skewed,Mesokurtic,1.522,,,9.362,,,1.105,1.788,3.645,3.298,2.54,1.855,1.154,8.1,9.128,9.822,1.213,1.722,1.103,0.892,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.1,0.9,7.3,34.1,57.6
Schlei_S25,"Bimodal, Poorly Sorted",Mud,Mud,2.24,2.103,6.513,123.5,1.74,1.985,0.237,3.171,9.167,0.989,-0.237,3.171,1.613,2.048,-0.115,1.159,9.276,1.034,0.115,1.159,Clay,Poorly Sorted,Fine Skewed,Leptokurtic,1.834,0.599,,9.092,10.71,,0.629,1.796,4.014,6.383,3.385,2.219,1.437,7.961,9.121,10.64,1.336,2.674,1.134,1.15,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.3,1.7,8.6,33,56.3
Schlei_S26,"Bimodal, Moderately Sorted",Slightly Gravelly Mud,Slightly Very Fine Gravelly Clay,1.622,1.407,31.46,8361.1,1.335,1.787,0.725,3.249,9.549,0.837,-0.725,3.249,1.304,1.767,0.194,0.829,9.583,0.822,-0.194,0.829,Clay,Moderately Sorted,Coarse Skewed,Platykurtic,0.722,1.522,,10.44,9.362,,0.695,1.238,2.943,4.236,2.248,2.425,1.158,8.408,9.657,10.49,1.248,2.083,1.142,1.278,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0.5,4.2,20.8,74.6
Schlei_S27,"Bimodal, Moderately Sorted",Mud,Clay,0.384,0.412,20.56,1890,0.309,1.837,0.568,4.064,11.66,0.877,-0.568,4.064,0.299,1.792,-0.102,0.831,11.71,0.841,0.102,0.831,Clay,Moderately Sorted,Fine Skewed,Platykurtic,0.376,0.135,,11.38,12.86,,0.14,0.322,0.622,4.45,0.482,2.456,0.27,10.65,11.6,12.81,1.202,2.154,1.117,1.296,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.8,99.1
Schlei_S29,"Unimodal, Moderately Well Sorted",Mud,Clay,0.389,0.371,24.87,3497.6,0.335,1.634,0.405,9.15,11.54,0.709,-0.405,9.15,0.331,1.454,0.241,1.027,11.56,0.54,-0.241,1.027,Clay,Moderately Well Sorted,Coarse Skewed,Mesokurtic,0.259,,,11.92,,,0.22,0.317,0.569,2.588,0.349,1.652,0.166,10.78,11.62,12.15,1.127,1.372,1.065,0.725,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.6,99.2
Schlei_S2_15cm,"Unimodal, Moderately Well Sorted",Slightly Gravelly Mud,Slightly Very Fine Gravelly Very Fine Silt,2.907,2.419,45.5,6210.9,2.576,1.55,1.281,5.399,8.6,0.633,-1.281,5.399,2.501,1.516,0.328,1.005,8.643,0.6,-0.328,1.005,Very Fine Silt,Moderately Well Sorted,Very Coarse Skewed,Mesokurtic,1.834,,,9.092,,,1.619,2.327,4.744,2.929,3.124,1.753,1.394,7.72,8.748,9.27,1.201,1.551,1.098,0.81,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.2,2.1,13.9,52.5,31.3
Schlei_S3,"Unimodal, Moderately Well Sorted",Mud,Clay,0.719,0.771,10.96,665,0.588,1.686,1.953,7.465,10.73,0.754,-1.953,7.465,0.547,1.557,0.424,1.509,10.84,0.639,-0.424,1.509,Clay,Moderately Well Sorted,Very Coarse Skewed,Very Leptokurtic,0.453,,,11.11,,,0.372,0.51,1.207,3.246,0.835,1.59,0.248,9.695,10.94,11.39,1.175,1.699,1.063,0.669,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.9,4,95.1
Schlei_S30,"Unimodal, Moderately Sorted",Slightly Gravelly Mud,Slightly Very Fine Gravelly Clay,1.481,1.212,13.73,2551.8,1.251,1.687,1.103,4.326,9.642,0.754,-1.103,4.326,1.22,1.658,0.325,1.091,9.679,0.73,-0.325,1.091,Clay,Moderately Sorted,Very Coarse Skewed,Mesokurtic,0.955,,,10.03,,,0.713,1.111,2.658,3.726,1.945,1.897,0.773,8.555,9.814,10.45,1.222,1.898,1.1,0.924,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0.4,3.5,14.4,81.8
Schlei_S31,"Trimodal, Moderately Sorted",Slightly Gravelly Mud,Slightly Very Fine Gravelly Clay,0.566,0.837,64.24,16160.5,0.436,1.868,1.162,5.062,11.16,0.901,-1.162,5.062,0.405,1.816,0.232,0.945,11.27,0.86,-0.232,0.945,Clay,Moderately Sorted,Coarse Skewed,Mesokurtic,0.342,0.657,0.215,11.51,10.57,12.19,0.215,0.388,0.841,3.916,0.626,2.424,0.379,10.22,11.33,12.18,1.193,1.969,1.121,1.278,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.5,2.6,96.8
Schlei_S32,"Unimodal, Moderately Well Sorted",Mud,Clay,0.635,0.671,26.9,2797,0.543,1.584,2.058,8.946,10.85,0.664,-2.058,8.946,0.513,1.48,0.372,1.341,10.93,0.566,-0.372,1.341,Clay,Moderately Well Sorted,Very Coarse Skewed,Leptokurtic,0.412,,,11.25,,,0.359,0.486,0.922,2.565,0.563,1.566,0.227,10.08,11.01,11.44,1.135,1.359,1.061,0.647,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.5,2.4,97.1
Schlei_S4,"Unimodal, Moderately Well Sorted",Slightly Gravelly Mud,Slightly Very Fine Gravelly Mud,2.59,2.328,48.23,6966.5,2.304,1.532,1.342,6.176,8.762,0.616,-1.342,6.176,2.24,1.494,0.314,1.012,8.802,0.579,-0.314,1.012,Very Fine Silt,Moderately Well Sorted,Very Coarse Skewed,Mesokurtic,1.522,,,9.362,,,1.477,2.096,4.109,2.782,2.632,1.715,1.198,7.927,8.898,9.403,1.186,1.476,1.092,0.778,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.2,1.2,10.1,45.9,42.5
Schlei_S4_15cm,"Unimodal, Moderately Well Sorted",Slightly Gravelly Mud,Slightly Very Fine Gravelly Mud,2.771,2.322,30.65,3207,2.438,1.565,1.306,5.686,8.68,0.646,-1.306,5.686,2.366,1.52,0.313,1.021,8.723,0.605,-0.313,1.021,Very Fine Silt,Moderately Well Sorted,Very Coarse Skewed,Mesokurtic,1.834,,,9.092,,,1.521,2.213,4.484,2.948,2.963,1.747,1.309,7.801,8.82,9.361,1.2,1.56,1.096,0.805,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.2,1.8,12,48.8,37.1
Schlei_S5,"Unimodal, Moderately Well Sorted",Slightly Gravelly Mud,Slightly Very Fine Gravelly Very Fine Silt,3.867,4.807,40.2,2885.2,3.415,1.507,1.933,10.44,8.194,0.591,-1.933,10.44,3.301,1.44,0.39,1.058,8.243,0.526,-0.39,1.058,Very Fine Silt,Moderately Well Sorted,Very Coarse Skewed,Mesokurtic,2.663,,,8.554,,,2.295,3.057,5.829,2.539,3.533,1.607,1.55,7.423,8.354,8.767,1.181,1.345,1.086,0.685,0,0.1,99.9,0,0,0,0,0,0,0,0,0,0,0.1,0.5,3.7,23.9,71.6,0.1
Schlei_S6,"Trimodal, Poorly Sorted",Slightly Gravelly Mud,Slightly Very Fine Gravelly Clay,0.841,1.269,6.845,263.1,0.349,3.664,0.609,1.819,11.48,1.874,-0.609,1.819,0.333,3.514,0.57,0.586,11.55,1.813,-0.57,0.586,Clay,Poorly Sorted,Very Coarse Skewed,Very Platykurtic,0.112,0.084,1.522,13.13,13.53,9.362,0.096,0.189,2.282,23.89,2.187,12.08,1.323,8.775,12.37,13.35,1.522,4.578,1.381,3.594,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0.2,2,12.1,85.6
Schlei_S7,"Unimodal, Moderately Well Sorted",Mud,Clay,0.396,0.356,25.97,3735.5,0.349,1.537,1.69,8.383,11.48,0.62,-1.69,8.383,0.337,1.461,0.234,1.02,11.54,0.546,-0.234,1.02,Clay,Moderately Well Sorted,Coarse Skewed,Mesokurtic,0.284,,,11.78,,,0.222,0.323,0.584,2.625,0.361,1.664,0.171,10.74,11.6,12.13,1.13,1.393,1.066,0.735,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.6,99.3
Schlei_S8,"Unimodal, Moderately Well Sorted",Mud,Clay,0.832,0.86,12.81,770.9,0.687,1.686,1.727,6.57,10.51,0.753,-1.727,6.57,0.653,1.591,0.422,1.357,10.58,0.67,-0.422,1.357,Clay,Moderately Well Sorted,Very Coarse Skewed,Leptokurtic,0.497,,,10.98,,,0.423,0.596,1.47,3.478,1.047,1.66,0.32,9.41,10.71,11.21,1.191,1.798,1.071,0.731,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1,4.9,94
