IDParticles,Sample,Site_name,GPS_LON,GPS_LAT,Compartment,Contributor,Project,Size_1_[µm],Size_2_[µm],Shape,Colour,polymer_type,library_entry,lab_blank_ID,sample_ID,Sampling_weight_[kg],Fraction_analysed,size_geom_mean
26593_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,58.0,41.0,irregular,unspecific,Polystyrene,Polystyrene,1391.0,1213,0.093,1.0,48.76474136094644
26599_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,72.0,58.0,irregular,unspecific,Polypropylene,Polypropylene,1391.0,1213,0.093,1.0,64.62197768561404
26600_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,354.0,41.0,irregular,blue,Polypropylene,Polypropylene,1391.0,1213,0.093,1.0,120.47406359876801
26601_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,169.0,51.0,irregular,unspecific,Polypropylene,Polypropylene,1391.0,1213,0.093,1.0,92.83856957105705
26602_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,111.0,95.0,irregular,unspecific,Polypropylene,Polypropylene,1391.0,1213,0.093,1.0,102.68885041717041
26603_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,985.0,239.0,irregular,unspecific,Polypropylene,Polypropylene,1391.0,1213,0.093,1.0,485.1958367504816
26608_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,200.0,95.0,irregular,unspecific,Poly (methyl methacrylate),Poly(methyl methacrylate),1391.0,1213,0.093,1.0,137.84048752090223
26609_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,86.0,18.0,fibre,unspecific,Styrene-butadiene-styrene block copolymer,SBS + TiO2,1391.0,1213,0.093,1.0,39.344631145812
26610_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,529.0,29.0,fibre,unspecific,Poly (ethylene terephthalate),Poly(ethylene terephtalate),1391.0,1213,0.093,1.0,123.8587905640936
26611_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,89.0,32.0,irregular,unspecific,Poly (ethylene terephthalate),Poly(ethylene terephtalate),1391.0,1213,0.093,1.0,53.36665625650534
26613_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,199.0,37.0,fibre,unspecific,Poly (ethylene terephthalate),Poly(ethylene terephtalate),1391.0,1213,0.093,1.0,85.8079250419214
26614_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,62.0,55.0,irregular,unspecific,Poly (ethylene terephthalate),Poly(ethylene terephtalate),1391.0,1213,0.093,1.0,58.39520528262573
26615_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,268.0,41.0,fibre,unspecific,Poly (ethylene terephthalate),Poly(ethylene terephtalate),1391.0,1213,0.093,1.0,104.82366145102927
26616_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,191.0,38.0,fibre,unspecific,Poly (ethylene terephthalate),Poly(ethylene terephtalate),1391.0,1213,0.093,1.0,85.19389649499546
26617_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,267.0,39.0,fibre,unspecific,Poly (ethylene terephthalate),Poly(ethylene terephtalate),1391.0,1213,0.093,1.0,102.04410811016969
