OBJECTID,Probennumm,Datum,Zeit,x,y,Textural_Group (Folk 1954),Special_Type (Macroscopic description),LOI_550 [%],Corg [%]
105,20170425_G30,25/04/2017,11:21,541875.169699999,6041471.24799999,Sand,,1.282624907,0.581
106,20170425_G31,25/04/2017,11:26,541904.819,6040934.052,Sand,,1.227335306,0.3395
107,20170425_G32,25/04/2017,11:45,543845.356099999,6039222.13499999,Mud,,27.88958148,12.8485
108,20170425_G33,25/04/2017,11:51,544879.9523,6038780.417,Mud,,23.13260434,11.056
109,20170425_G34,25/04/2017,11:55,545212.7547,6038946.91399999,Mud,,22.14416187,10.217
110,20170425_G35,25/04/2017,12:00,545661.429,6038945.26599999,Sandy Mud,,18.3638519299999,6.9425
111,20170425_G36,25/04/2017,12:07,545197.132699999,6039117.94099999,Sandy Mud,,19.51115532,9.34
112,20170425_G37,25/04/2017,12:12,545144.645299999,6039153.03,Mud,,20.86582415,9.4575
113,20170425_G38,25/04/2017,12:45,547314.349799999,6042392.671,Mud,,24.4897959199999,11.551
114,20170425_G39,25/04/2017,12:51,547851.503099999,6042890.883,Mud,,24.46477901,11.175
115,20170425_G40,25/04/2017,12:56,547906.400799999,6043793.01099999,Mud,,14.6742686199999,6.459
116,20170425_G41,25/04/2017,13:18,549759.871399999,6047399.48099999,Mud,,21.97122815,10.298
117,20170425_G42,25/04/2017,13:25,550961.614399999,6046338.74399999,Sand,,2.035207799,0.985
118,20170425_G43,25/04/2017,13:36,551990.316499999,6047533.688,Muddy Sand,Schill,3.995036228,
119,20170425_G44,25/04/2017,13:41,552020.9797,6047547.207,Sandy Mud,Schill,9.06443027199999,
120,20170425_G45,25/04/2017,13:45,552068.344599999,6047560.73199999,Muddy Sand,,8.936111621,3.055
121,20170425_G46,25/04/2017,13:53,552662.301499999,6048489.364,Mud,,20.0475907199999,5.9145
122,20170425_G47,25/04/2017,14:02,552769.8627,6048541.246,,Schill,,
123,20170425_G48,25/04/2017,14:20,553157.527499999,6048914.853,,Schill,14.28756645,
124,20170425_G49,25/04/2017,14:47,557811.1393,6052787.28699999,Sandy Mud,,15.3322416599999,6.8565
125,20170425_G50,25/04/2017,15:01,560172.9514,6053593.291,Mud,Schill,5.140098088,
126,20170425_G51,25/04/2017,15:07,560438.648,6054094.83299999,Muddy Sand,Schill,9.32094185599999,2.2
127,20170425_G52,25/04/2017,15:14,560650.242199999,6054622.74799999,,Muddy Sand,13.5107118199999,5.1415
128,20170425_G53,25/04/2017,15:21,560589.2545,6054693.898,,Schill,3.449814126,1.0585
129,20170425_G54,25/04/2017,15:28,560411.155099999,6054995.336,,Muddy Sand,13.4011367,4.1525
130,20170425_G55,25/04/2017,15:33,560405.632899999,6055797.273,Muddy Sand,Schill,3.144005773,0.935
131,20170425_G56,25/04/2017,15:40,560478.892699999,6056763.854,Muddy Sand,Mytilus,6.044792346,1.7295
132,20170426_G57,26/04/2017,07:56,560637.896799999,6058430.472,Muddy Sand,,9.722333681,2.9325
133,20170426_G58,26/04/2017,08:03,560831.8871,6058698.496,,Muddy Sand,3.196707909,1.492
134,20170426_G59,26/04/2017,08:09,561018.6985,6058923.21499999,,Muddy Sand,7.293206055,2.64
135,20170426_G60,26/04/2017,08:15,561244.980499999,6059216.36099999,Muddy Sand,,6.854168974,1.7975
136,20170426_G61,26/04/2017,08:22,562222.780999999,6059247.12799999,Sandy Mud,,10.57539097,3.749
137,20170426_G62,26/04/2017,08:29,562819.172,6059374.258,Muddy Sand,,3.993300423,1.2665
138,20170426_G63,26/04/2017,08:35,562951.3172,6059370.71399999,,Muddy Sand,3.359580052,0.746
139,20170426_G64,26/04/2017,08:41,563076.306699999,6059363.922,Muddy Sand,,2.309009417,0.7925
140,20170426_G65,26/04/2017,08:47,563482.1835,6059400.756,Muddy Sand,,2.071294757,0.623
141,20170426_G66,26/04/2017,08:54,563904.5616,6059311.359,Sand,,1.602478381,0.395
142,20170426_G67,26/04/2017,08:59,564352.9608,6059328.46899999,Sand,Mytilus,1.356888725,0.324
143,20170426_G68,26/04/2017,09:07,566291.195599999,6059324.71499999,,Mytilus+Gravel,,
144,20170426_G69,26/04/2017,09:14,565178.5533,6059253.843,Sand,Mytilus,1.162734829,0.161
