,Sample,Frequency,FrequencyA500,FrequencyB500,Mass,GPS_LONs,GPS_LATs,Split,MP_D50,Concentration,ConcentrationA500,ConcentrationB500,Station ID,+ 15 cm ?,Date,Arrival,Sediment,CTD,Departure,GPS LAT,GPS LON,Depth,Comments,D50,Unnamed: 2,20,25,32,38,45,53,63,75,90,106,125,150,180,212,250,300,355,425,500,600,710,850,1000,1180,1400,1700,2000,2360,2800,3350,4000,4750,5600,6300,6700,8000,9500, Below 63 µm, Below 90 µm, Below 125 µm, Below 180 µm, Below 250 µm, Below 355 µm, Below 500 µm, Below 710 µm, Below 1000 µm, Below 1400 µm, Below 2000 µm, Above 2000 µm,Dx 10,Dx 16,Dx 25,Dx 50,Dx 75,Dx 84,Dx 90,TOC,Hg,Dist_WWTP,Regio_Sep
12,Schlei_S21,488,4,484,0.08,9.73118,54.5276,0.25,112.65433857601757,24400.0,200.0,24200.0,S21,,15-05-18,17:30:00,17:31:00,17:33:00,17:35:00,54° 31.654’,09° 43.871’,2.1,Missunder Noor,15.35,,5.44,5.79,3.89,3.79,3.71,4.02,4.15,4.36,3.78,3.52,3.34,2.73,1.95,1.54,1.43,1.15,1.1,0.89,0.82,0.52,0.3,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.36,76.87,84.17,90.23,93.73,96.31,98.3,99.64,99.99,100.0,100.0,0.0,4.64,6.6,10.1,28.2,83.2,124.0,177.0,10.9955,173.3,9723.0,outer
13,Schlei_S22,53,2,51,0.066,9.76887,54.5601,1.0,82.61355820929153,803.0,30.0,773.0,S22,,15-05-18,18:02:00,18:06:00,18:09:00,,54° 33.605’,09° 46.132’,4.0,Ulsnis,38.5,32-38,3.44,3.9,2.93,3.11,3.28,3.71,3.92,4.16,3.64,3.44,3.37,2.92,2.28,2.04,2.15,1.97,2.17,2.0,2.23,1.96,1.9,1.46,1.23,1.04,0.89,0.56,0.45,0.31,0.17,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.73,61.81,68.88,75.17,79.49,83.61,87.78,91.97,95.33,97.6,99.04,0.96,5.7,7.82,12.3,53.0,178.0,367.0,599.0,11.5525,175.6,14087.0,outer
14,Schlei_S23,224,17,207,0.093,9.78108,54.5722,1.0,100.99009075755157,2409.0,183.0,2226.0,S23,,15-05-18,18:49:00,,,,54° 34.329’,09° 46.865’,3.1,Gummeby?,11.2,,3.55,3.87,2.63,2.56,2.5,2.71,2.84,3.08,2.8,2.79,2.93,2.73,2.28,2.15,2.3,2.09,2.24,2.04,2.35,2.29,2.63,2.65,2.98,3.32,3.88,3.07,2.72,2.05,1.2,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.41,46.32,51.91,57.57,61.99,66.39,70.67,75.31,80.59,86.9,93.84,6.16,8.43,13.1,23.3,112.0,694.0,1210.0,1630.0,12.224,231.7,15662.0,outer
15,Schlei_S24,67,6,61,0.188,9.81235,54.577,0.5,114.9956520917204,713.0,64.0,649.0,S24,,15-05-18,19:06:00,19:06:00,,,54° 34.620’,09° 48.741’,4.7,Lindaunis,51.5,,5.37,5.75,3.86,3.7,3.49,3.59,3.51,3.46,2.87,2.62,2.53,2.26,1.91,1.9,2.11,1.86,1.64,1.05,0.57,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.63,78.61,84.09,88.88,92.68,96.65,99.34,100.0,100.0,100.0,100.0,3e-11,4.49,6.04,8.76,23.7,74.5,124.0,198.0,1.979,50.6,17538.0,outer
16,Schlei_S25,233,1,232,0.13,9.88715,54.6143,1.0,93.98404119849285,1792.0,8.0,1785.0,S25,,15-05-18,19:37:00,19:37:00,,,54° 36.857’,09° 53.229’,3.0,Faullück,23.05,,3.47,4.33,3.53,3.99,4.49,5.36,5.88,6.36,5.51,5.04,4.56,3.48,2.27,1.58,1.32,1.01,1.0,0.87,0.9,0.66,0.48,0.19,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.86,71.1,81.65,89.69,93.54,95.87,97.74,99.3,99.97,100.0,100.0,9e-09,4.19,6.3,11.2,46.7,101.0,137.0,183.0,8.713,166.0,24017.0,outer
17,Schlei_S26,24,3,21,0.25,9.92367,54.6247,1.0,120.81153892653342,96.0,12.0,84.0,S26,,15-05-18,20:28:00,20:30:00,,,54° 37.483’,09° 55.42’,2.3,,278.0,,3.88,4.23,2.93,2.9,2.86,3.09,3.18,3.36,2.98,2.9,3.01,2.8,2.35,2.25,2.47,2.32,2.57,2.39,2.71,2.41,2.35,1.8,1.5,1.28,1.15,0.75,0.62,0.44,0.25,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.13,58.67,64.55,70.36,74.96,79.74,84.71,89.82,93.98,96.75,98.65,1.35,5.4,7.95,13.3,55.9,251.0,477.0,719.0,0.1885,17.6,26567.0,outer
18,Schlei_S27,372,3,369,0.25,9.9332,54.63589999999999,0.25,100.4723587086354,5952.0,48.0,5904.0,S27,,15-05-18,20:47:00,,,,54° 38.155’,09° 55.992’,1.2,,22.2,,4.89,5.45,3.86,3.88,3.89,4.31,4.58,5.08,4.73,4.81,5.12,4.62,3.43,2.4,1.5,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.39,73.05,82.6,92.34,98.16,100.0,100.0,100.0,100.0,100.0,100.0,6e-14,5.5,7.6,11.6,35.9,96.3,131.0,163.0,6.8825,182.6,28534.0,outer
19,Schlei_S29,1278,8,1270,0.0,9.93985,54.66330000000001,0.125,94.69952481401371,inf,inf,inf,S29,,16-05-18,09:25:00,,09:26:00,09:27:00,54° 39.798’,09° 56.391’,1.2,Kappeln gegenüber Fischerkai?,27.05,,2.87,3.18,2.22,2.23,2.3,2.67,3.0,3.56,3.49,3.69,4.13,4.02,3.45,3.32,3.6,3.33,3.66,3.39,3.84,3.45,3.43,2.71,2.33,1.98,1.73,1.09,0.83,0.52,0.23,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.16,41.72,48.91,57.07,63.85,70.78,77.83,85.12,91.26,95.58,98.4,1.6,8.79,14.9,30.2,131.0,437.0,671.0,925.0,5.7785,139.268714904786,31509.0,outer
20,Schlei_S2_15cm,562,0,562,0.25,9.59055,54.5077,0.25,97.01546268507924,8992.0,0.0,8992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.623,18.0103197097778,2468.0,inner
21,Schlei_S3,343,6,337,0.06,9.60065,54.50869999999999,0.5,94.02127418834527,11433.0,200.0,11233.0,S3,,14-05-18,19:08:00,,19:18:00,,54° 30.519’,09° 36.039’,3.8,zw. Fahrdorf und Windmühle,12.5,,5.29,6.23,4.64,4.82,4.9,5.34,5.38,5.32,4.28,3.67,3.08,2.21,1.4,1.03,0.97,0.83,0.84,0.68,0.62,0.4,0.29,0.19,0.19,0.21,0.25,0.2,0.17,0.13,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.56,78.27,86.22,91.51,93.94,95.74,97.26,98.28,98.76,99.16,99.61,0.39,5.62,7.86,12.1,34.7,80.4,113.0,158.0,13.629,277.2,2068.0,inner
22,Schlei_S30,140,10,130,0.203,9.94452,54.672,1.0,138.85021330809843,690.0,49.0,640.0,S30,,16-05-18,09:37:00,09:40:00,,,54° 40.317’,09° 56.671’,12.1,,48.0,,2.98,3.32,2.31,2.27,2.24,2.44,2.56,2.79,2.57,2.6,2.83,2.78,2.48,2.54,2.93,2.86,3.26,3.09,3.59,3.39,3.64,3.3,3.32,3.3,3.41,2.48,2.09,1.52,0.87,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.67,41.02,46.19,51.79,56.81,62.61,68.96,75.94,82.88,89.5,95.39,4.61,8.75,14.5,28.8,160.0,678.0,1060.0,1440.0,2.3875,56.0393009185791,32502.0,outer
23,Schlei_S31,16,0,16,0.078,10.0186,54.6757,1.0,71.87401565136615,205.0,0.0,205.0,S31,,16-05-18,10:45:00,,,,54° 40.542’,10° 01.118’,4.0,,152.5,,0.91,1.13,0.86,0.91,0.98,1.17,1.36,1.67,1.71,1.9,2.35,2.62,2.65,3.1,3.91,4.02,4.56,4.08,4.34,3.8,4.14,4.26,5.17,6.23,7.88,6.57,5.99,4.59,2.7,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.95,12.99,16.6,21.57,27.32,35.24,43.88,52.03,60.44,71.83,86.28,13.72,63.4,119.0,221.0,649.0,1520.0,1890.0,2210.0,1.108,12.2936501502991,37475.0,outer
24,Schlei_S32,909,28,881,0.179,9.98658,54.6874,0.25,130.47988350699887,20313.0,626.0,19687.0,S32,,16-05-18,11:06:00,11:07:00,,,54° 41.241’,09° 59.195’,2.1,,49.45,,2.37,2.97,2.31,2.49,2.68,3.15,3.5,4.01,3.8,3.92,4.31,4.19,3.63,3.54,3.86,3.54,3.77,3.36,3.66,3.21,3.23,2.71,2.6,2.54,2.64,1.95,1.66,1.2,0.68,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.39,35.9,43.62,52.12,59.29,66.69,73.81,80.68,86.62,91.75,96.35,3.65,15.5,27.8,52.3,164.0,530.0,855.0,1240.0,3.165,113.923725128174,36158.0,outer
25,Schlei_S4,363,0,363,0.25,9.62385,54.5192,0.25,68.58571279792899,5808.0,0.0,5808.0,S4,1.0,15-05-18,,08:55:00,09:00:00,09:03:00,54° 31.153’,09° 37.431’,2.8,westl. Reesholm,226.0,,3.62,4.13,2.88,2.83,2.8,3.13,3.44,4.04,3.98,4.26,4.81,4.67,3.92,3.55,3.52,2.91,2.83,2.43,2.58,2.23,2.26,1.89,1.76,1.62,1.55,1.1,0.92,0.66,0.38,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.65,46.13,54.36,63.85,71.32,77.75,83.01,87.82,91.97,95.35,97.99,2.01,10.1,16.1,28.4,106.0,303.0,536.0,845.0,0.818,23.5,1497.0,inner
26,Schlei_S4_15cm,358,8,350,0.21,9.62385,54.5192,0.25,109.34349546269316,6819.0,152.0,6667.0,,,,,,,,,,,,174.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51,25.7828359603881,1497.0,inner
27,Schlei_S5,16,0,16,0.25,9.62658,54.5299,1.0,121.3870377881985,64.0,0.0,64.0,S5,1.0,15-05-18,09:10:00,09:13:00,09:14:00,09:16:00,54° 31.794’,09° 37.595’,1.4,Füsinger Au,293.0,,2.72,3.14,2.28,2.34,2.4,2.72,2.93,3.26,3.01,3.02,3.2,2.97,2.45,2.23,2.25,1.89,1.79,1.44,1.44,1.23,1.33,1.35,1.61,1.93,2.45,2.06,1.89,1.46,0.86,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.8,57.98,64.0,70.18,74.86,79.0,82.23,84.91,87.59,91.13,95.65,4.35,0.353,2.84,7.41,56.3,253.0,627.0,1270.0,0.1235,8.0,1602.0,river
28,Schlei_S6,418,4,414,0.039999999999999994,9.61715,54.522,0.25,93.69098142297368,41800.0,400.0,41400.0,S6,,15-05-18,09:25:00,09:27:00,09:29:00,09:30:00,54° 31.323’,09° 37.029’,3.0,"Kleine Breite Ost, zw. Reesholm und Freiheit",24.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.403,278.8,974.0,inner
29,Schlei_S7,660,0,660,0.081,9.61202,54.5183,0.125,101.96077677224709,65185.0,0.0,65185.0,S7,,15-05-18,09:34:00,09:38:00,09:37:00,,54° 31.096’,09° 36.721’,3.2,Kleine Breite Mitte,25.25,,3.6,4.21,3.08,3.18,3.3,3.78,4.14,4.71,4.43,4.53,4.86,4.52,3.68,3.26,3.2,2.63,2.53,2.13,2.26,1.95,1.92,1.54,1.36,1.19,1.08,0.72,0.56,0.39,0.22,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.19,51.03,59.99,69.37,76.3,82.12,86.78,90.99,94.45,96.99,98.8,1.2,8.87,14.2,25.5,86.6,234.0,405.0,651.0,9.973,410.7,1006.0,inner
30,Schlei_S8,2923,39,2884,0.10499999999999998,9.60645,54.52530000000001,0.5,100.73728207570424,55676.0,743.0,54933.0,S8,,15-05-18,10:00:00,10:02:00,10:04:00,,54° 31.516’,09° 36.387’,2.0,Auslauf Klärwerk,19.65,,5.23,6.24,4.55,4.63,4.66,5.12,5.32,5.6,4.85,4.53,4.3,3.54,2.56,2.06,1.96,1.63,1.66,1.44,1.49,1.17,0.98,0.58,0.34,0.17,0.09,0.06,0.04,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.59,66.5,75.88,83.72,88.34,91.93,95.03,97.69,99.26,99.76,99.91,0.09,8.25,12.5,19.9,52.2,121.0,183.0,291.0,16.396,304.9,211.0,inner
