TweedieRegressor;1;1;4;560;[ 2  4 19 20 21];['S03' 'S06' 'S24' 'S25' 'S26'];0.731290478564972;-1.85943889951829;-817.550191735198;-0.745548870095625;0.808437575095923;-0.599279551746762;-1062.87487593883;-0.466778193179157;79;['Depth', 'WWTP_influence_as_mean_time_travelled__nosed_0µm_allseasons_222_', 'perc_MUD'];TweedieRegressor;1;log;2;;;;;;;;;;
TweedieRegressor;1;2;1;48;[ 1  6  7 14 23];['S02' 'S08' 'S10' 'S19' 'S29'];0.955085161000946;-0.352558365271252;-819.405754013656;-0.247861102758104;0.848640848292338;-0.637665344822213;-767.442455966983;-0.532648557599496;42;['WWTP_influence_as_mean_time_travelled__nosed_0µm_allseasons_222_', 'perc_MUD'];TweedieRegressor;1;log;2;;;;;;;;;;
TweedieRegressor;1;3;3;504;[ 0 15 16 24 25];['S01' 'S20' 'S21' 'S30' 'S31'];0.75387832190217;-0.413896433480032;-1350.12763240686;-0.353794545229567;0.865044467909711;-0.698771920363144;-879.29381176902;-0.493299944408062;79;['Depth', 'WWTP_influence_as_mean_time_travelled__nosed_0µm_allseasons_222_', 'perc_MUD'];TweedieRegressor;1;log;2;;;;;;;;;;
TweedieRegressor;1;4;2;196;[ 5  8  9 11 12];['S07' 'S11' 'S13' 'S15' 'S16'];0.888181730400519;-0.354563732157048;-1026.40003736247;-0.193036369041366;0.619459748876904;-1.04538994237782;-1119.22693980642;-0.442891756812968;79;['Depth', 'WWTP_influence_as_mean_time_travelled__nosed_0µm_allseasons_222_', 'perc_MUD'];TweedieRegressor;1;log;2;;;;;;;;;;
TweedieRegressor;2;0;4;1745;[ 0  9 12 16 20 24];['S01' 'S13' 'S16' 'S21' 'S25' 'S30'];-0.266170591749078;-0.435815043823592;-2156.76436201575;-0.410834704116001;0.565648840894177;-0.525993892127881;-670.348093337288;-0.469838901235048;67;['Depth', 'WWTP_influence_as_cumulated_residence__nosed_18µm_autumn_222', 'perc_MUD'];TweedieRegressor;1;log;2;;;;;;;;;;
TweedieRegressor;2;1;3;804;[ 3  6 14 17 23];['S04' 'S08' 'S19' 'S22' 'S29'];0.646314472849944;-0.816808597333538;-1462.80579148033;-0.512391139735984;0.720379123588846;-0.492791632191798;-818.963853425915;-0.36205166247692;22;['WWTP_influence_as_mean_time_travelled__sed_18µm_allseasons_444', 'perc_MUD'];TweedieRegressor;1;log;2;;;;;;;;;;
TweedieRegressor;2;2;1;84;[ 1  4  5 10 19];['S02' 'S06' 'S07' 'S14' 'S24'];0.934413291494634;-2.4998943795659;-996.093374848162;-0.47359013348772;0.725860049705098;-0.592625555948297;-1044.40674252628;-0.503268231606537;79;['Depth', 'WWTP_influence_as_mean_time_travelled__nosed_0µm_allseasons_222_', 'perc_MUD'];TweedieRegressor;1;log;2;;;;;;;;;;
TweedieRegressor;2;3;5;1836;[ 2  7 18 21 22];['S03' 'S10' 'S23' 'S26' 'S27'];-0.971103176166875;-1.92837706192817;-946.447027703894;-0.581145155305456;0.759124148165583;-0.935661280173547;-1072.96232565886;-0.417896916263999;71;['Depth', 'WWTP_influence_as_mean_time_travelled__nosed_18µm_allseasons_222', 'perc_MUD'];TweedieRegressor;1;log;2;;;;;;;;;;
TweedieRegressor;2;4;2;115;[ 8 11 13 15 25];['S11' 'S15' 'S17' 'S20' 'S31'];0.922267030739475;-0.421805273027906;-303.233177715525;-0.433210822234511;0.761792400337638;-1.27232361546948;-1639.8103573348;-0.644921407892547;79;['Depth', 'WWTP_influence_as_mean_time_travelled__nosed_0µm_allseasons_222_', 'perc_MUD'];TweedieRegressor;1;log;2;;;;;;;;;;
TweedieRegressor;3;0;5;1721;[12 15 16 17 18 23];['S16' 'S20' 'S21' 'S22' 'S23' 'S29'];-0.182622066954481;-0.537105632034835;-1288.73006078391;-0.60545077969042;0.905650096819345;-0.638598613458397;-518.118664334461;-0.286423007847777;128;['WWTP_influence_as_mean_time_travelled__nosed_0µm_allseasons_222_', 'perc_MUD', 'PC2'];TweedieRegressor;1;log;2;;;;;;;;;;
